name,elev_ft,elev_m,lat,lon,activities,season,link
"Peak 9,180 (Wallowas)",9180,2798,45.1446,-117.2301,,,http://www.summitpost.org/peak-9-180-wallowas/153407
Pearsoll Peak (OR),5098,1554,42.299,-123.8453,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/pearsoll-peak-or/154790
Pedro Mountain (OR),6455,1967,44.4648,-117.5548,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/pedro-mountain-or/260361
Pelican Butte,8036,2449,42.5134,-122.1453,,,http://www.summitpost.org/pelican-butte/151243
Petes Point,9675,2949,45.1894,-117.2205,,,http://www.summitpost.org/petes-point/153193
Phoca Rock,100,30,45.57204,-122.18151,Scrambling,"Spring, Summer, Fall, Winter",http://www.summitpost.org/phoca-rock/548875
Pillars Of Hercules,200,61,45.33141,-122.11286,Trad Climbing,"Spring, Summer, Fall, Winter",http://www.summitpost.org/pillars-of-hercules/177110
Pilot Butte,4138,1261,44.06052,-121.28326,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/pilot-butte/916018
Pilot Rock,5908,1801,42.0306,-122.5609,,,http://www.summitpost.org/pilot-rock/153073
Polaris Point,9395,2864,45.1776,-117.2237,,,http://www.summitpost.org/polaris-point/153299
Powell Butte,630,192,45.48718,-122.504,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/powell-butte/988652
Prairie Mountain (OR),3422,1043,44.28014,-123.5872,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/prairie-mountain-or/452264
Pueblo Mountain,8632,2631,42.1,-118.6486,,,http://www.summitpost.org/pueblo-mountain/150773
Pyramid Butte,6095,1858,44.7617,-121.7989,,,http://www.summitpost.org/pyramid-butte/150621
Rabbit Ears,5600,1707,43.0086,-122.44,,,http://www.summitpost.org/rabbit-ears/151288
Rabbit Ears (Menagerie),3875,1181,44.4278,-122.301,,,http://www.summitpost.org/rabbit-ears-menagerie/152640
Red Butte,5848,1782,44.50833,-121.87194,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/red-butte/256916
Red Mountain (Elkhorns),8928,2721,44.88376,-118.16955,"Hiking, Mountaineering, Trad Climbing, Bouldering, Scrambling","Summer, Fall",http://www.summitpost.org/red-mountain-elkhorns/647648
